"","x"
"1",232.2
"2",229
"3",228.2
"4",232
"5",208.2
"6",222
"7",222.2
"8",212
"9",208
"10",218.1
"11",205
"12",191
"13",183.2
"14",206.1
"15",146
"16",189.1
"17",196
"18",208
"19",205.1
"20",160.2
"21",175.2
"22",218
"23",203.2
"24",127.1
"25",174.2
"26",113.1
"27",186.2
"28",154.1
"29",180
"30",184.2
"31",133.1
"32",128.2
"33",130.2
"34",201.2
"35",185
"36",175.1
"37",169.1
"38",150
"39",191.1
"40",194.2
"41",129.2
"42",207.1
"43",163.1
"44",193.2
"45",201.2
"46",184
"47",198.1
"48",74.1
"49",204.2
"50",164
"51",184.1
"52",125.2
"53",109.2
"54",192.2
"55",214
"56",127.2
"57",151.1
"58",154
"59",150.1
"60",164.2
"61",170.2
"62",181.1
"63",119.1
"64",64.2
"65",115
"66",63.1
"67",198.2
"68",173
"69",83.1
"70",177.1
"71",184.2
"72",214.1
"73",118
"74",170.1
"75",169.2
"76",152.2
"77",149
"78",175
"79",121.2
"80",129.2
"81",133
"82",172
"83",96.2
"84",136.2
"85",85
"86",78.2
"87",92.1
"88",105.2
"89",75.1
"90",127.2
"91",88.1
"92",96
"93",180.1
"94",108
"95",100.1
"96",148
"97",144
"98",119.1
"99",132
"100",200.2
"101",73.2
"102",83.2
"103",177.2
"104",187
"105",168.1
"106",58
"107",177.2
"108",157
"109",110.2
"110",51
"111",134.1
"112",167.1
"113",152.1
"114",172.1
"115",29
"116",106.2
"117",58.2
"118",107.2
"119",36.2
"120",81.1
"121",84
"122",91.1
"123",146
"124",66.2
"125",77.2
"126",125
"127",49
"128",128.1
"129",99
"130",40.2
"131",38
"132",109.1
"133",25
"134",202.1
"135",129
"136",35.1
"137",108.1
"138",159
"139",129
"140",134.1
"141",63
"142",184.1
"143",62.1
"144",44.2
"145",173
"146",49.2
"147",114
"148",144.2
"149",188.2
"150",59
"151",57.1
"152",177
"153",115.2
"154",70.1
"155",65.2
"156",35.2
"157",94
"158",84.1
"159",68.1
"160",67
"161",34
"162",36.2
"163",31.1
"164",31.2
"165",168.1
"166",33
"167",43
"168",27
"169",121
"170",24.1
"171",20.1
"172",43
"173",35.1
"174",69
"175",143.2
"176",44
"177",23.1
"178",17
"179",25
"180",51.1
"181",76.1
"182",38
"183",22.1
"184",63
"185",107
"186",30.2
"187",81.2
"188",15.2
"189",12.1
"190",28.1
"191",18.2
"192",46.1
"193",60.1
"194",108.2
"195",5.2
"196",5
"197",90
"198",58.1
"199",41.2
"200",33.2
"201",10
"202",68.2
"203",31.1
"204",42.2
"205",38.1
"206",71.1
"207",48.1
"208",8.1
"209",6
"210",37
"211",86
"212",18
"213",113.1
"214",2.2
"215",5
"216",101
"217",44
"218",52.1
"219",3.1
"220",19.1
"221",74
"222",29.2
"223",4
"224",22.1
"225",3
"226",7
"227",8.1
"228",5.2
"229",121.1
"230",23.1
"231",12
"232",2
"233",5
"234",3
"235",29
"236",6
"237",2
"238",3.1
"239",2.1
"240",66
"241",74.2
"242",3.1
"243",15.1
"244",2.2
"245",5
"246",4.1
"247",4
"248",23.2
"249",35.2
"250",4
"251",9.1
"252",13.1
"253",13.2
"254",4
"255",23.1
"256",9
"257",11.2
"258",35
"259",5
"260",3
"261",4.2
"262",10.1
"263",9.1
"264",41
"265",55.1
"266",6
"267",73.1
"268",58.2
"269",8
"270",2
"271",5.1
"272",57
"273",12.1
"274",55.2
"275",5
"276",47.1
"277",2.2
"278",66
"279",21
"280",32
"281",124
"282",16
"283",8.2
"284",2.2
"285",84
"286",22
"287",6.1
"288",116
"289",2
"290",8.2
"291",105.2
"292",25.1
"293",3.1
"294",7.1
"295",30
"296",13
"297",50
"298",30.1
"299",4
"300",11.1
"301",6.1
"302",23.1
"303",65.2
"304",65.1
"305",33.2
"306",4
"307",11
"308",51.1
"309",41.2
"310",44
"311",23
"312",79.1
"313",24
"314",6
"315",6
"316",6.2
"317",57.2
"318",30.2
"319",29
"320",105.2
"321",48.1
"322",24
"323",71
"324",131.1
"325",142.1
"326",28.1
"327",149
"328",182.1
"329",182.2
"330",228.1
"331",226.2
"332",227.2
"333",223
"334",208
"335",215
"336",219.2
"337",199.2
"338",230
"339",226.2
"340",202.2
"341",188
"342",147.2
"343",168
"344",192
"345",121
"346",160
"347",181.1
"348",197.1
"349",204
"350",189
"351",200.2
"352",174.1
"353",207.2
"354",195.1
"355",175.2
"356",159
"357",179.2
"358",188
"359",175.2
"360",201.1
"361",197.1
"362",195
"363",156.2
"364",188.1
"365",148
"366",100.1
"367",176
"368",133.2
"369",165
"370",111
"371",177.1
"372",184.2
"373",198.2
"374",199
"375",76
"376",173.2
"377",179.2
"378",137.1
"379",163.1
"380",186
"381",161.2
"382",116
"383",146.1
"384",172
"385",176.2
"386",132.1
"387",102
"388",168
"389",114.1
"390",190.1
"391",198.2
"392",121.2
"393",158.2
"394",203.1
"395",131
"396",105
"397",123.1
"398",158
"399",139.2
"400",195.2
"401",141.2
"402",81
"403",132.1
"404",187.2
"405",186
"406",64.2
"407",175.1
"408",132
"409",89
"410",128.1
"411",92.2
"412",104
"413",189.1
"414",69.1
"415",124.2
"416",186
"417",105
"418",133.1
"419",164.2
"420",81
"421",123.1
"422",41
"423",147.1
"424",102.1
"425",166.2
"426",183
"427",133
"428",34.1
"429",101.2
"430",107
"431",68.1
"432",153.1
"433",105.1
"434",116.1
"435",176.2
"436",73
"437",68.1
"438",56.1
"439",173
"440",91.2
"441",28.2
"442",165.2
"443",130
"444",136.1
"445",54
"446",70.2
"447",123.1
"448",169.1
"449",117
"450",88.2
"451",75.2
"452",180.1
"453",25.2
"454",112
"455",108.2
"456",34.2
"457",138.2
"458",39
"459",72
"460",134.1
"461",49.2
"462",127.2
"463",29.1
"464",47.1
"465",109.2
"466",120.2
"467",172
"468",52
"469",117
"470",40
"471",118
"472",101
"473",24.2
"474",27.2
"475",24.1
"476",23
"477",28.1
"478",179.1
"479",29.1
"480",35.2
"481",38.1
"482",117
"483",29.1
"484",149.2
"485",57.2
"486",112.2
"487",67.1
"488",98.1
"489",155.2
"490",67.1
"491",48
"492",52.1
"493",17.1
"494",71.2
"495",70.2
"496",11.1
"497",67.2
"498",62.1
"499",11
"500",25
"501",26.2
"502",9
"503",63.1
"504",70
"505",12
"506",21.2
"507",38.1
"508",57.2
"509",132.1
"510",57.1
"511",106
"512",9
"513",116.2
"514",83.1
"515",13.1
"516",52.1
"517",51.2
"518",8.1
"519",5
"520",73
"521",30
"522",126
"523",15.1
"524",119
"525",5.2
"526",19
"527",55
"528",39.1
"529",3.1
"530",68.1
"531",11
"532",31.2
"533",20
"534",5
"535",69.2
"536",22
"537",79.1
"538",5.1
"539",24.2
"540",4
"541",20.1
"542",53.2
"543",19.2
"544",42
"545",5
"546",4.1
"547",3.2
"548",11.1
"549",5
"550",63.2
"551",34
"552",31.1
"553",59.1
"554",178
"555",2
"556",60.1
"557",8
"558",61.1
"559",24.1
"560",24.2
"561",47.2
"562",63.1
"563",10.1
"564",4
"565",24.2
"566",16.1
"567",5
"568",4
"569",24.1
"570",73
"571",47
"572",37.1
"573",6
"574",73.1
"575",28
"576",12
"577",3
"578",20
"579",3.2
"580",4.2
"581",46
"582",5
"583",3
"584",48
"585",17.2
"586",41
"587",5
"588",6
"589",43.1
"590",5
"591",7
"592",22.1
"593",2.2
"594",26.2
"595",61
"596",2.1
"597",22
"598",4
"599",3.1
"600",22.1
"601",3
"602",4.2
"603",46.1
"604",44.2
"605",11.2
"606",9.1
"607",46
"608",4
"609",5
"610",24
"611",36.1
"612",7.1
"613",3
"614",4
"615",27.2
"616",113.2
"617",6.2
"618",0.2
"619",9
"620",83.2
"621",2.1
"622",27.1
"623",24.2
"624",1.1
"625",22
"626",37
"627",11.2
"628",13
"629",7
"630",10
"631",6
"632",3
"633",17
"634",9.1
"635",47.2
"636",58.1
"637",8
"638",62.1
"639",53.2
"640",16
"641",101.2
"642",5.1
"643",9
"644",11
"645",60
"646",38.2
"647",10
"648",25.2
"649",70
"650",23.2
"651",22.1
"652",19.2
"653",51.1
"654",38.1
"655",40
"656",21.1
"657",21.1
"658",114.1
"659",56
"660",214.1
"661",203.2
"662",200.2
"663",175.1
"664",193.1
"665",200
"666",175.1
"667",202.1
"668",168
"669",136
"670",201
"671",175
"672",201.1
"673",207.2
"674",164.2
"675",201
"676",146.1
"677",110.1
"678",153.1
"679",162
"680",172
"681",201
"682",203
"683",205
"684",141.1
"685",146.2
"686",165.2
"687",133.2
"688",187
"689",111.2
"690",147
"691",211.1
"692",173.2
"693",180.2
"694",118.2
"695",144.1
"696",175.2
"697",137
"698",145.1
"699",178.1
"700",191.1
"701",162
"702",175.1
"703",155.1
"704",169.2
"705",168.1
"706",139.2
"707",186
"708",138.2
"709",157.1
"710",180.1
"711",166.2
"712",185
"713",145.2
"714",186.2
"715",179.1
"716",114
"717",97
"718",135.2
"719",180.1
"720",158.2
"721",133.2
"722",141
"723",84.1
"724",149.2
"725",187
"726",181.2
"727",157.1
"728",86.2
"729",97.1
"730",128
"731",197.1
"732",104.1
"733",203.1
"734",179.2
"735",89.1
"736",136.1
"737",148.2
"738",148
"739",129.1
"740",154
"741",98.1
"742",133.2
"743",111
"744",126.1
"745",163.2
"746",152
"747",94.2
"748",87
"749",121.1
"750",30.1
"751",114.1
"752",95.2
"753",70.1
"754",55.1
"755",90.1
"756",160
"757",81.2
"758",190
"759",113
"760",61
"761",149.2
"762",133
"763",186.1
"764",32
"765",136.1
"766",84
"767",147.1
"768",158
"769",63.2
"770",69.1
"771",105.1
"772",93
"773",63.1
"774",96.1
"775",98
"776",88
"777",84.1
"778",81
"779",111
"780",66
"781",34
"782",49.2
"783",100
"784",142.1
"785",29.1
"786",92.1
"787",172.1
"788",58
"789",27.2
"790",88.2
"791",111.1
"792",67.1
"793",112
"794",91
"795",117.1
"796",188.1
"797",85
"798",25
"799",82.2
"800",44.1
"801",51.1
"802",69.1
"803",47.2
"804",65.1
"805",65.1
"806",33.1
"807",58.2
"808",157.1
"809",119.1
"810",43
"811",31.1
"812",43
"813",51.1
"814",19.2
"815",169.2
"816",46.1
"817",62
"818",73.2
"819",83
"820",122.2
"821",181
"822",44.2
"823",115.2
"824",22
"825",112.1
"826",99.2
"827",20
"828",86.2
"829",19.2
"830",20
"831",48
"832",27
"833",37.1
"834",17.2
"835",45.1
"836",80
"837",23.1
"838",29.2
"839",13
"840",9.1
"841",66.2
"842",78
"843",60.2
"844",4
"845",158
"846",154.1
"847",32
"848",72
"849",43
"850",8.1
"851",86.1
"852",14
"853",6.2
"854",22
"855",38.2
"856",31.1
"857",11.2
"858",18.1
"859",72
"860",27
"861",14
"862",69.1
"863",10
"864",11.1
"865",8
"866",5
"867",44.1
"868",77.2
"869",9.1
"870",47
"871",16.1
"872",26.1
"873",5
"874",29
"875",29.2
"876",13
"877",105.1
"878",4
"879",5
"880",7.1
"881",23.1
"882",4.1
"883",3.1
"884",35.1
"885",3.2
"886",18
"887",2
"888",2
"889",8.1
"890",100.2
"891",143.1
"892",7
"893",5
"894",40
"895",18.2
"896",5.1
"897",6
"898",154
"899",6
"900",14.2
"901",63
"902",11.1
"903",5
"904",41.1
"905",71
"906",32.2
"907",11.1
"908",25.2
"909",152.1
"910",46
"911",2.2
"912",23
"913",3.1
"914",0.1
"915",13.2
"916",8
"917",20.1
"918",8.2
"919",12.1
"920",8
"921",0.1
"922",4
"923",36
"924",129
"925",19.2
"926",14.2
"927",12.2
"928",11.1
"929",52.1
"930",3.1
"931",21.2
"932",2.2
"933",3.1
"934",2.1
"935",0.2
"936",7.2
"937",114.2
"938",14.1
"939",1.2
"940",5.1
"941",51.1
"942",51.1
"943",4
"944",15
"945",15.1
"946",18.2
"947",3
"948",3
"949",13.2
"950",22.1
"951",91.1
"952",3
"953",9.1
"954",11
"955",4.2
"956",117
"957",42.2
"958",51.2
"959",5.1
"960",64.1
"961",31
"962",22
"963",6.2
"964",3.1
"965",15.1
"966",2
"967",21
"968",3.2
"969",113.1
"970",34.1
"971",3.1
"972",16.2
"973",7.2
"974",20.2
"975",15
"976",60.1
"977",57
"978",28.2
"979",14
"980",11
"981",125
"982",2.1
"983",24
"984",71
"985",64
"986",88.2
"987",41.2
"988",21.2
"989",52.1
"990",46.2
"991",55.2
"992",58.2
"993",133.2
"994",100.1
"995",85.1
"996",42.1
"997",67.1
"998",217
"999",220.2
"1000",214
"1001",158
"1002",200.1
"1003",200
"1004",171.1
"1005",191.1
"1006",215
"1007",212.1
"1008",186.2
"1009",180.2
"1010",200.2
"1011",182.1
"1012",200
"1013",196
"1014",202.1
"1015",154.1
"1016",191
"1017",183
"1018",160.1
"1019",199
"1020",166.2
"1021",204.2
"1022",161.1
"1023",192.1
"1024",136.1
"1025",207.2
"1026",167
"1027",110
"1028",163
"1029",196.2
"1030",180
"1031",164.1
"1032",170.2
"1033",145.2
"1034",156
"1035",172.1
"1036",157
"1037",133.2
"1038",192.2
"1039",177.1
"1040",176
"1041",191.1
"1042",153
"1043",151
"1044",126
"1045",130
"1046",125.1
"1047",118
"1048",148
"1049",185.2
"1050",180
"1051",188.2
"1052",115.1
"1053",128
"1054",169.2
"1055",170.1
"1056",161.2
"1057",107.2
"1058",106
"1059",123.1
"1060",114
"1061",176
"1062",181.2
"1063",82.1
"1064",172.2
"1065",163.1
"1066",160.2
"1067",100.1
"1068",96
"1069",47
"1070",128
"1071",98.1
"1072",174
"1073",106.1
"1074",131.2
"1075",174.1
"1076",97.2
"1077",129.1
"1078",145.2
"1079",76.1
"1080",148.1
"1081",112
"1082",97.2
"1083",90
"1084",113
"1085",124
"1086",152.1
"1087",177
"1088",132.1
"1089",129.2
"1090",80.2
"1091",135
"1092",50.1
"1093",102.1
"1094",126.1
"1095",129.1
"1096",119
"1097",91.1
"1098",155
"1099",77.1
"1100",161
"1101",204
"1102",109.2
"1103",133.1
"1104",97.1
"1105",73.2
"1106",73
"1107",94.2
"1108",119.2
"1109",160.1
"1110",63.2
"1111",51.2
"1112",130
"1113",57
"1114",123.2
"1115",76.1
