"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Blue Jays","6206","9.2 %","18.4 %","0.50",".269",".340",".458",".798",".189","4.6",".298","5.1","0.3","5.6","854","156.1",".345","118"
"Dodgers","5743","9.6 %","19.6 %","0.49",".257",".335",".427",".762",".169","3.8",".295","-10.2","-0.7","-4.5","728","82.2",".331","113"
"Rockies","5750","6.6 %","20.3 %","0.32",".273",".324",".448",".772",".174","5.1",".318","5.8","-1.0","0.0","727","79.7",".331","93"
"Diamondbacks","5947","8.1 %","20.0 %","0.40",".272",".332",".430",".762",".158","5.4",".320","11.2","-4.9","6.7","743","74.2",".329","102"
"Astros","6046","8.0 %","22.8 %","0.35",".250",".316",".438",".753",".188","4.7",".292","1.1","4.3","2.7","738","58.2",".325","109"
"Giants","5799","7.7 %","17.8 %","0.44",".273",".334",".413",".747",".140","4.7",".316","5.0","-6.9","1.6","705","52.9",".325","109"
"Cubs","5823","9.5 %","23.5 %","0.40",".253",".332",".415",".747",".161","4.7",".311","6.0","7.5","1.7","707","51.5",".325","104"
"Tigers","6132","7.4 %","20.2 %","0.37",".271",".329",".421",".750",".150","4.6",".323","-13.9","-7.4","-6.3","746","55.7",".324","103"
"Yankees","6242","8.9 %","19.5 %","0.45",".252",".324",".422",".746",".171","3.9",".284","-5.4","8.5","-0.1","756","54.0",".324","104"
"Nationals","5757","9.2 %","21.4 %","0.43",".256",".328",".416",".744",".160","3.6",".301","-0.8","-1.0","-0.4","692","44.1",".323","102"
"Pirates","5945","7.7 %","20.0 %","0.38",".268",".333",".409",".743",".142","4.5",".319","3.2","1.3","-0.9","712","43.6",".322","105"
"Red Sox","6212","7.7 %","18.3 %","0.42",".266",".326",".416",".742",".150","4.3",".305","0.7","0.0","0.7","742","42.9",".322","100"
"Rangers","6165","8.2 %","19.8 %","0.41",".258",".326",".414",".740",".156","4.7",".300","10.9","8.7","2.0","732","38.2",".321","98"
"Cardinals","5786","8.5 %","19.8 %","0.43",".260",".330",".409",".738",".149","4.2",".307","4.2","0.6","-4.0","682","30.9",".320","104"
"Royals","6093","6.3 %","15.8 %","0.40",".269",".322",".413",".736",".144","5.1",".301","-3.3","-1.6","4.6","712","26.2",".319","99"
"Mets","5793","8.3 %","20.1 %","0.41",".249",".319",".412",".731",".163","3.7",".288","8.9","-0.4","-2.2","669","17.1",".317","104"
"Indians","6085","8.7 %","18.8 %","0.46",".257",".325",".402",".727",".145","4.4",".299","3.6","1.1","3.4","700","14.9",".316","97"
"Orioles","5985","7.0 %","22.1 %","0.32",".250",".308",".422",".729",".171","3.6",".291","-2.2","0.9","-3.6","684","10.8",".315","98"
"Reds","5859","8.4 %","19.1 %","0.44",".254",".320",".406",".726",".151","4.7",".292","0.2","1.6","9.2","669","9.6",".315","97"
"Rays","6051","7.2 %","21.5 %","0.34",".253",".315",".406",".722",".154","4.2",".300","-9.8","-0.6","-3.0","683","2.0",".314","100"
"Mariners","6106","7.8 %","21.7 %","0.36",".249",".311",".412",".724",".163","3.6",".292","-18.6","2.1","-6.5","688","0.6",".314","101"
"Brewers","5711","7.1 %","20.5 %","0.35",".258",".315",".407",".722",".148","4.8",".306","2.3","-3.6","3.3","638","-4.5",".312","94"
"Marlins","5670","6.5 %","18.3 %","0.36",".266",".317",".395",".712",".129","4.8",".310","1.2","-4.4","2.1","619","-19.0",".309","97"
"Athletics","6150","7.7 %","18.0 %","0.43",".251",".313",".396",".708",".145","4.9",".288","-4.3","1.9","1.4","669","-23.3",".308","96"
"Padres","5702","7.3 %","21.2 %","0.35",".249",".308",".396",".704",".147","4.7",".296","0.6","2.0","2.5","608","-33.9",".306","96"
"Twins","5997","7.3 %","20.9 %","0.35",".247",".306",".400",".706",".153","4.8",".292","-0.3","-1.7","-3.5","638","-36.7",".306","90"
"Phillies","5749","6.6 %","20.1 %","0.33",".255",".310",".393",".702",".138","4.7",".302","-3.3","-1.0","2.5","612","-34.5",".306","92"
"Angels","5968","7.3 %","19.1 %","0.38",".246",".307",".397",".704",".151","3.6",".280","4.7","1.4","-5.6","634","-37.3",".305","95"
"Braves","5702","8.0 %","17.3 %","0.46",".259",".323",".372",".696",".113","3.7",".302","7.1","-7.8","-1.9","602","-39.2",".305","91"
"White Sox","6047","6.7 %","20.2 %","0.33",".250",".307",".381",".688",".131","4.0",".296","-9.8","0.2","-5.6","619","-61.5",".300","89"
