"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"2018","Yankees","35","20","49","508","0","594.2","11.40","3.44","1.01",".297","74.7 %","41.3 %","12.2 %","3.38","3.33","3.38","9.2"
"2017","Yankees","29","24","36","477","0","538.1","10.92","3.76","0.85",".272","75.5 %","42.5 %","10.1 %","3.34","3.37","3.80","9.2"
"2018","Padres","28","30","36","535","0","635.0","10.20","2.93","0.89",".298","73.0 %","42.3 %","10.6 %","3.53","3.31","3.57","8.6"
"2017","Indians","21","22","37","497","0","489.1","10.08","2.74","0.88",".292","78.7 %","45.4 %","11.7 %","2.89","3.20","3.41","8.3"
"2018","Astros","31","23","46","510","0","499.2","10.56","2.47","0.94",".281","78.8 %","42.4 %","11.2 %","3.03","3.14","3.33","7.7"
"2017","Rockies","24","19","47","549","0","550.2","8.97","3.48","1.05",".307","70.9 %","47.2 %","12.1 %","4.40","3.94","4.14","7.3"
"2016","Astros","27","19","44","500","0","551.0","10.08","2.50","1.05",".292","74.2 %","43.9 %","12.4 %","3.56","3.32","3.37","7.1"
"2018","Brewers","42","21","49","559","0","614.0","10.38","3.56","0.98",".297","76.5 %","46.8 %","13.6 %","3.47","3.57","3.47","6.6"
"2015","Orioles","30","19","43","453","0","519.0","8.98","3.33","0.80",".297","75.9 %","48.7 %","10.0 %","3.21","3.48","3.64","6.6"
"2016","Yankees","36","19","48","483","0","512.1","10.15","3.23","1.18",".280","75.9 %","44.9 %","13.7 %","3.67","3.83","3.72","6.5"
"2017","Dodgers","32","19","51","536","0","559.2","10.24","2.94","1.13",".281","78.2 %","41.1 %","13.0 %","3.38","3.55","3.64","6.5"
"2018","Rays","55","36","52","553","0","824.1","8.23","3.13","0.96",".278","72.2 %","44.5 %","10.5 %","3.80","3.89","4.17","6.5"
"2017","Red Sox","29","15","39","515","0","531.0","9.81","3.03","1.00",".286","79.2 %","42.1 %","11.7 %","3.15","3.53","3.77","6.4"
