Season,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
2018,"LAA",632,2693,8.587,3.6883,2.3282,1.1677,0.2239,0.0962,0.1277,0.246736842,1.337,0.2935,0.7531,4.320862543755126,4.264862261467341
2018,"BAL",597.1,2640,8.1211,4.3242,1.878,1.13,0.2042,0.1087,0.0955,0.264372822,1.4967,0.3117,0.7162,4.590739518755128,4.603648527601093
2018,"BOS",587.1,2499,9.6232,3.7543,2.5633,0.9807,0.2513,0.098,0.1533,0.234838121,1.294,0.2948,0.7702,3.8540147627551278,4.0487515720210805
2018,"CHW",545.1,2431,9.5721,4.1754,2.2925,0.9737,0.2386,0.1041,0.1345,0.259311645,1.4725,0.3252,0.7072,3.991736759755127,4.284321151556804
2018,"CLE",463.2,2010,9.2782,3.1639,2.9325,1.514,0.2378,0.0811,0.1567,0.252631578,1.335,0.2998,0.7447,4.534883501755128,3.979397904436196
2018,"DET",579.2,2515,7.9183,3.4313,2.3077,1.1179,0.2028,0.0879,0.1149,0.258960573,1.3784,0.2999,0.708,4.289287358755128,4.503784649119641
2018,"KCR",542.2,2411,7.3139,4.1462,1.764,1.277,0.1829,0.1037,0.0792,0.278882575,1.5461,0.3145,0.7089,4.845327497755127,4.625970870270142
2018,"MIN",610.1,2663,9.0983,3.2736,2.7793,1.3124,0.2317,0.0834,0.1483,0.260412284,1.3779,0.311,0.7279,4.278475017755127,4.044326928419767
2018,"NYY",594.2,2497,11.3963,3.4355,3.3172,1.014,0.3016,0.0909,0.2107,0.221274685,1.2108,0.2975,0.7467,3.3292138147551267,3.383754372313501
2018,"OAK",641.1,2653,8.7989,3.2838,2.6795,1.0525,0.2363,0.0882,0.1481,0.22044594,1.1819,0.2646,0.7712,3.9141710767551268,4.116765455286109
2018,"SEA",557.1,2347,8.9785,2.8098,3.1954,1.0981,0.2369,0.0741,0.1628,0.243230403,1.2309,0.2946,0.7554,3.914640708755127,4.100643934638701
2018,"TBR",824.1,3433,8.2321,3.1334,2.6272,0.9608,0.2196,0.0836,0.136,0.233420026,1.2192,0.2775,0.7218,3.8877001547551266,4.174902180517744
2018,"TEX",585,2527,8.1692,3.2923,2.4813,1.1385,0.2101,0.0847,0.1254,0.255659121,1.3504,0.2986,0.7205,4.2260094997551265,4.190831055276224
2018,"TOR",594.1,2585,9.0707,3.3617,2.6982,1.2872,0.2317,0.0859,0.1458,0.261645624,1.3847,0.3146,0.7349,4.322016953755128,4.360805135699514
2018,"ARI",541.1,2281,8.2297,3.5745,2.3023,0.9975,0.217,0.0943,0.1228,0.236750866,1.2802,0.2803,0.7663,4.075461509755128,4.083806040859015
2018,"ATL",557,2424,8.9838,4.4111,2.0366,0.8402,0.2294,0.1126,0.1167,0.241165234,1.3968,0.2984,0.7204,3.983314830755127,4.207791254263882
2018,"CHC",588.1,2494,8.6278,4.1762,2.0659,0.7802,0.2261,0.1095,0.1167,0.225183823,1.2969,0.2775,0.7644,3.8851317787551265,4.290993292379859
2018,"CIN",602.1,2604,7.979,3.6757,2.1707,1.1505,0.2051,0.0945,0.1106,0.25479094,1.3796,0.2953,0.7291,4.409531248755127,4.296906721665277
2018,"COL",520.1,2216,9.098,3.7534,2.424,1.0551,0.2374,0.0979,0.1394,0.247438524,1.3453,0.3038,0.6713,4.047023005755126,4.0370686208362265
2018,"MIA",606.1,2698,7.9709,4.1413,1.9247,1.1281,0.199,0.1034,0.0956,0.265505522,1.4909,0.3096,0.6598,4.562921190755127,4.676775469171584
2018,"HOU",499.2,2013,10.555,2.4676,4.2774,0.9366,0.2911,0.0681,0.2231,0.213703099,1.0607,0.2811,0.7881,3.1410390737551266,3.3284693227941116
2018,"LAD",581.1,2435,9.676,3.0808,3.1407,1.1611,0.2567,0.0817,0.1749,0.230804387,1.211,0.2859,0.7528,3.8800890317551273,3.768345786867325
2018,"MIL",614,2570,10.3778,3.5619,2.9136,0.9821,0.2755,0.0946,0.1809,0.229551451,1.2459,0.2974,0.7646,3.568218474755128,3.4730957354588887
2018,"WSN",528.2,2239,8.495,3.2346,2.6263,1.3789,0.2229,0.0849,0.138,0.239979959,1.2654,0.2766,0.7719,4.513511603755127,4.383680437907703
2018,"NYM",546.1,2385,8.4674,3.6736,2.3049,1.3508,0.2155,0.0935,0.122,0.26095238,1.4112,0.303,0.7001,4.608887080755128,4.683167983770776
2018,"PHI",569.1,2462,9.1844,3.4778,2.6409,1.0591,0.236,0.0894,0.1466,0.249427917,1.3437,0.3048,0.7186,3.9461811307551278,4.026356261611687
2018,"PIT",546.1,2383,9.6205,3.8877,2.4746,0.939,0.2451,0.099,0.146,0.244030563,1.3673,0.3084,0.7302,3.862089934755127,4.053597515675821
2018,"STL",565.2,2512,8.3052,4.3435,1.9121,0.9546,0.2078,0.1087,0.0991,0.258780036,1.4726,0.3064,0.7106,4.274782069755126,4.504669870117018
2018,"SDP",635,2642,10.2047,2.9339,3.4783,0.8929,0.2725,0.0783,0.1942,0.229894736,1.1858,0.298,0.7301,3.307509132755127,3.5679227156540625
2018,"SFG",570.2,2409,8.9106,3.3908,2.6279,0.8516,0.2345,0.0892,0.1453,0.242070895,1.2862,0.2983,0.7162,3.6254217927551275,3.9291999764741172
