"","x"
"1",483
"2",579.1
"3",485.2
"4",519
"5",501
"6",441.2
"7",514.2
"8",549.2
"9",453.1
"10",568.2
"11",505
"12",457.1
"13",539.1
"14",467.1
"15",516
"16",530
"17",515
"18",530.2
"19",460
"20",509
"21",543.2
"22",522.1
"23",495
"24",523
"25",505
"26",485
"27",538.2
"28",502
"29",475.2
"30",468.1
"31",544
"32",567
"33",567.1
"34",546
"35",470.1
"36",469.2
"37",470.2
"38",583
"39",508.2
"40",524.1
"41",509.1
"42",551
"43",539.1
"44",590.2
"45",559.2
"46",551
"47",567.2
"48",512.1
"49",525
"50",561.1
"51",528
"52",585
"53",556
"54",522.1
"55",478
"56",514
"57",506.1
"58",521.2
"59",464
"60",499.2
"61",569
"62",499.2
"63",527
"64",595
"65",531
"66",548.1
"67",559
"68",610
"69",489.1
"70",550.2
"71",528.2
"72",546.1
"73",570.1
"74",559.2
"75",612
"76",572.2
"77",566.1
"78",538.1
"79",569
"80",553.1
"81",550.2
"82",546
"83",551.1
"84",569.2
"85",493.1
"86",531
"87",545.2
"88",516
"89",596.2
"90",473.2
"91",632
"92",541.1
"93",557
"94",597.1
"95",587.1
"96",545.1
"97",588.1
"98",602.1
"99",463.2
"100",520.1
"101",579.2
"102",499.2
"103",542.2
"104",581.1
"105",606.1
"106",614
"107",610.1
"108",594.2
"109",546.1
"110",641.1
"111",569.1
"112",546.1
"113",635
"114",557.1
"115",570.2
"116",565.2
"117",824.1
"118",585
"119",594.1
"120",528.2
