"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Josh Taylor","Red Sox","0","0","4.62","0","12","0","14.0","15","7","1","21","2","1.25","13.40","1.31","1.89","0.4","0.1","17359"
"Matt Moore","Tigers","0","0","0.48","2","2","0","11.0","4","1","0","10","1","0.49","8.03","1.13","2.01","0.5","0.7","1890"
"Ken Giles","Blue Jays","3","2","2.32","0","57","26","57.0","44","15","4","87","18","1.07","13.67","2.76","2.13","1.6","1.6","12910"
"Kirby Yates","Padres","2","3","2.25","0","66","43","66.0","46","16","5","100","20","1.00","13.64","2.73","2.18","1.7","1.7","9073"
"Nick Burdi","Pirates","2","1","8.06","0","14","0","11.0","13","10","1","20","4","1.54","16.14","3.28","2.22","0.3","-0.4","16074"
"Aroldis Chapman","Yankees","3","2","2.13","0","66","40","64.0","43","15","4","93","23","1.03","13.11","3.20","2.34","1.8","1.7","10233"
"Josh Hader","Brewers","3","4","2.17","0","62","34","72.0","32","17","10","131","25","0.80","16.32","3.17","2.40","2.0","2.2","14212"
"Will Smith","Giants","3","1","2.38","0","66","37","65.0","42","17","6","94","18","0.91","12.90","2.50","2.42","1.4","1.7","8048"
"Aaron Loup","Padres","0","0","1.07","0","6","0","5.0","3","1","0","7","2","1.01","12.33","2.91","2.48","0.1","0.2","10343"
"Max Scherzer","Nationals","15","9","2.79","33","33","0","221.0","178","68","21","300","48","1.02","12.25","1.95","2.52","7.8","7.6","3137"
"Felipe Vazquez","Pirates","3","1","2.41","0","64","37","66.0","53","18","6","95","20","1.10","12.87","2.77","2.64","1.4","1.6","12076"
"Ryan Eades","Twins","0","0","0.99","0","3","0","5.0","5","1","0","6","2","1.58","11.48","4.60","2.65","0.1","0.2","14808"
"Brad Hand","Indians","6","5","2.91","0","71","39","70.0","53","23","7","95","20","1.05","12.29","2.63","2.71","1.6","1.6","9111"
"Cody Reed","Reds","0","0","2.66","0","11","0","14.0","13","4","1","16","4","1.20","9.92","2.58","2.74","0.3","0.4","15232"
"Tyler Glasnow","Rays","8","2","2.52","13","13","0","75.0","57","21","6","88","21","1.03","10.56","2.48","2.77","2.4","2.7","14374"
"Ryan Pressly","Astros","3","2","2.27","0","68","4","69.0","51","17","7","81","15","0.95","10.56","1.90","2.80","1.4","1.8","7005"
"Liam Hendriks","Athletics","5","1","2.30","2","72","5","79.0","59","20","5","96","29","1.11","10.94","3.29","2.80","1.9","2.4","3548"
"Giovanny Gallegos","Cardinals","3","1","2.89","0","59","1","64.0","46","21","8","86","14","0.94","12.12","2.03","2.85","1.3","1.4","14986"
"Huascar Ynoa","Braves","0","0","2.32","0","3","0","4.0","3","1","0","5","1","1.00","9.41","2.44","2.87","0.1","0.1","20468"
"Matt Barnes","Red Sox","5","4","3.67","0","68","14","66.0","51","27","7","106","31","1.23","14.37","4.16","2.91","1.1","1.0","12863"
"Chris Sale","Red Sox","11","10","3.43","33","33","0","200.0","156","76","25","280","46","1.01","12.65","2.07","2.91","5.9","5.1","10603"
"Frankie Montas","Athletics","9","2","2.77","16","16","0","95.0","84","29","8","101","23","1.13","9.64","2.15","2.93","3.0","2.6","14309"
"Matt Ramsey","","0","0","2.33","0","2","0","2.0","1","1","0","2","0","0.71","8.85","2.03","2.96","0.0","0.0","14460"
"Jacob deGrom","Mets","11","10","3.12","31","31","0","194.0","164","67","23","244","44","1.07","11.32","2.02","2.96","5.9","5.3","10954"
"Nick Anderson","Marlins","3","4","3.97","0","62","3","61.0","51","27","7","90","23","1.23","13.45","3.45","2.97","1.1","0.4","18337"
"Hyun-Jin Ryu","Dodgers","15","5","2.30","29","29","0","185.0","159","47","18","175","22","0.98","8.52","1.09","2.97","4.9","6.7","14444"
"Craig Kimbrel","Cubs","2","1","2.86","0","31","18","31.0","21","10","3","46","14","1.14","13.49","4.08","2.98","0.6","0.6","6655"
"Dellin Betances","Yankees","1","1","2.99","0","18","0","18.0","12","6","2","27","8","1.13","13.48","4.11","3.01","0.3","0.4","6216"
"Taylor Cole","Angels","0","0","4.57","1","18","0","24.0","25","12","1","27","12","1.53","9.91","4.51","3.02","0.5","0.0","11964"
"Austin Adams","Mariners","2","1","3.04","2","48","1","50.0","31","17","5","78","26","1.13","13.94","4.62","3.02","1.0","1.0","13801"
"Ian Kennedy","Royals","1","3","3.72","0","61","23","62.0","62","26","7","72","13","1.21","10.43","1.85","3.05","1.2","0.8","6986"
"Walker Buehler","Dodgers","14","5","3.39","30","30","0","182.0","153","68","20","202","37","1.04","10.01","1.81","3.07","4.8","4.1","19374"
"Luke Jackson","Braves","5","3","3.26","0","65","25","69.0","63","25","7","89","25","1.27","11.72","3.22","3.10","1.0","1.0","11752"
"Emilio Pagan","Rays","4","2","2.51","0","60","10","63.0","44","18","7","79","20","1.01","11.20","2.87","3.14","1.1","1.6","14771"
"Gerrit Cole","Astros","14","9","3.36","33","33","0","199.0","156","74","28","277","56","1.07","12.53","2.52","3.15","5.5","4.5","13125"
"Will Harris","Astros","3","2","2.52","0","62","0","59.0","50","16","5","55","15","1.11","8.37","2.31","3.16","1.0","1.3","3192"
"Corey Knebel","Brewers","0","0","3.21","0","1","0","1.0","1","0","0","1","0","1.17","12.92","3.84","3.16","0.0","0.1","15010"
"Roberto Osuna","Astros","5","2","2.90","0","64","33","64.0","50","21","7","70","12","0.96","9.85","1.70","3.16","1.2","1.2","13764"
"Charlie Morton","Rays","14","6","2.91","32","32","0","185.0","144","60","16","219","65","1.13","10.64","3.16","3.18","4.8","5.5","4676"
"Jose Alvarado","Rays","2","5","3.05","0","58","15","56.0","42","19","4","76","33","1.35","12.24","5.35","3.19","0.8","1.1","17780"
"David Hernandez","Reds","3","4","4.12","0","64","1","63.0","56","29","6","76","21","1.21","10.84","2.94","3.19","1.2","0.5","4259"
"Jordan Hicks","Cardinals","2","2","3.15","0","30","14","30.0","17","10","2","32","12","0.96","9.74","3.49","3.20","0.4","0.6","19618"
"Luke Gregerson","","0","0","7.41","0","7","0","7.0","12","5","0","3","1","2.00","3.79","1.80","3.22","0.1","-0.2","4090"
"Robert Stephenson","Reds","3","2","3.63","0","47","0","52.0","37","21","5","68","22","1.13","11.76","3.81","3.22","0.8","0.6","13594"
"Edwin Diaz","Mets","3","6","3.77","0","65","34","63.0","56","26","10","98","21","1.21","14.01","2.95","3.24","0.8","0.6","14710"
"Colin Poche","Rays","2","2","3.59","0","32","0","33.0","23","13","4","44","10","0.98","11.94","2.69","3.25","0.6","0.4","19403"
"Ty Buttrey","Angels","6","5","2.89","0","70","5","71.0","62","23","7","84","24","1.21","10.65","3.08","3.26","1.2","1.5","14719"
"Taylor Rogers","Twins","4","2","2.69","0","64","20","69.0","60","21","8","82","17","1.11","10.68","2.22","3.28","1.1","1.7","13449"
"Ray Black","Giants","1","1","3.19","0","13","0","13.0","9","4","1","18","6","1.21","12.61","4.44","3.29","0.2","0.2","14244"
"Sean Doolittle","Nationals","6","3","3.44","0","68","35","66.0","61","25","8","79","18","1.21","10.74","2.52","3.29","1.3","1.1","1581"
"Ryne Stanek","Rays","2","3","3.11","25","66","0","83.0","63","29","8","98","33","1.17","10.61","3.62","3.30","1.9","1.9","15947"
"Kenley Jansen","Dodgers","5","3","3.28","0","66","42","66.0","52","24","10","85","15","1.00","11.54","2.00","3.30","1.0","0.8","3096"
"Seth Lugo","Mets","5","2","3.43","0","61","1","70.0","61","27","8","86","21","1.16","10.93","2.67","3.30","0.9","0.5","12447"
"Aaron Bummer","White Sox","2","1","2.85","0","54","1","57.0","44","18","4","59","20","1.12","9.33","3.23","3.32","0.9","1.1","16258"
"Andrew Chafin","Diamondbacks","1","2","3.23","0","67","0","54.0","49","19","4","62","23","1.34","10.41","3.83","3.34","0.9","1.0","12988"
"Reyes Moronta","Giants","5","6","3.05","0","64","0","67.0","47","23","5","89","36","1.23","11.86","4.81","3.35","0.6","1.2","14966"
"Brandon Workman","Red Sox","9","2","2.73","0","70","4","67.0","38","20","5","88","40","1.16","11.85","5.35","3.36","0.8","1.6","11428"
"Sam Dyson","Giants","4","2","3.09","0","68","4","70.0","60","24","6","62","17","1.10","8.04","2.17","3.37","0.7","1.1","11710"
"Amir Garrett","Reds","5","3","2.69","0","73","1","69.0","52","21","7","93","32","1.23","12.22","4.24","3.39","0.9","1.7","14375"
"Blake Snell","Rays","10","11","4.09","31","31","0","166.0","146","75","21","216","62","1.25","11.70","3.38","3.39","3.9","2.7","13543"
"Hector Neris","Phillies","3","4","3.40","0","66","32","66.0","51","25","9","89","23","1.11","11.99","3.06","3.40","1.0","0.9","11804"
"Rowan Wick","Cubs","0","0","3.63","0","10","0","11.0","11","4","1","14","6","1.48","11.19","4.64","3.44","0.1","0.0","14646"
"Danny Salazar","Indians","1","1","3.41","1","11","0","15.0","12","6","2","19","5","1.15","11.51","3.09","3.45","0.3","0.3","5867"
"Stephen Strasburg","Nationals","16","9","3.77","33","33","0","205.0","177","86","25","231","54","1.12","10.15","2.35","3.45","4.7","4.5","10131"
"Brandon Woodruff","Brewers","15","6","3.98","31","31","0","179.0","162","79","21","208","54","1.21","10.47","2.72","3.45","3.9","3.6","16162"
"David Price","Red Sox","11","6","3.69","28","28","0","150.0","140","61","18","162","36","1.17","9.71","2.17","3.45","3.5","3.5","3184"
"Mike Clevinger","Indians","7","5","3.59","17","17","0","100.0","75","40","13","130","39","1.14","11.71","3.54","3.46","2.4","2.5","12808"
"Joakim Soria","Athletics","3","5","4.31","1","66","1","67.0","56","32","7","70","21","1.15","9.40","2.82","3.46","1.1","0.4","6941"
"Trevor Gott","Giants","5","1","3.89","0","56","0","59.0","47","26","6","62","20","1.13","9.40","3.05","3.47","0.7","0.5","15046"
"Oliver Perez","Indians","3","2","3.43","0","57","0","46.0","42","18","6","55","10","1.13","10.64","2.03","3.48","0.6","0.6","1514"
"Mike Soroka","Braves","13","5","2.98","25","25","0","148.0","128","49","11","124","38","1.12","7.55","2.33","3.48","3.1","4.3","18383"
"Jaime Schultz","Dodgers","0","0","1.64","0","5","0","5.0","3","1","0","6","3","1.13","10.06","5.28","3.49","0.0","0.2","15066"
"John Gant","Cardinals","9","2","2.98","0","69","5","76.0","55","25","7","71","24","1.04","8.44","2.85","3.50","1.1","1.5","13684"
"Garrett Richards","Padres","0","0","3.49","0","0","0","1.0","1","0","0","1","0","1.25","9.80","3.30","3.51","0.0","0.0","9784"
"Luke Weaver","Diamondbacks","7","6","3.53","20","20","0","115.0","105","45","14","122","31","1.18","9.60","2.40","3.52","2.5","2.8","16918"
"Archie Bradley","Diamondbacks","3","5","4.68","1","62","0","65.0","69","34","6","80","32","1.55","11.10","4.47","3.53","0.8","0.0","12918"
"Scott Oberg","Rockies","7","3","2.97","0","70","5","75.0","57","25","7","79","29","1.15","9.49","3.53","3.54","1.1","1.8","13911"
"Aaron Wilkerson","Brewers","0","0","5.67","0","12","0","17.0","22","11","1","17","7","1.74","8.94","3.86","3.54","0.2","-0.1","16904"
"Grant Dayton","Braves","0","0","1.80","0","11","0","10.0","11","2","1","13","4","1.48","11.48","3.42","3.54","0.2","0.3","11203"
