"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Edwin Diaz","Mets","2","1","2.65","0","32","18","32.0","22","9","3","48","11","1.01","13.52","3.00","2.54","0.7","0.7","14710"
"Josh Hader","Brewers","2","1","2.60","0","32","15","32.0","19","9","4","55","13","1.01","15.20","3.71","2.60","0.8","0.8","14212"
"Will Smith","Giants","2","1","2.81","0","33","16","33.0","25","10","3","45","11","1.08","12.18","3.05","2.83","0.6","0.7","8048"
"Jacob deGrom","Mets","7","4","3.00","15","15","0","97.0","78","32","11","123","24","1.05","11.42","2.19","2.88","3.0","2.7","10954"
"Chris Sale","Red Sox","8","3","3.02","16","16","0","98.0","76","33","12","132","22","1.00","12.13","2.01","2.88","2.9","3.0","10603"
"Felipe Vazquez","Pirates","2","1","2.91","0","33","18","33.0","26","11","3","44","11","1.12","11.84","3.09","2.90","0.6","0.6","12076"
"Aroldis Chapman","Yankees","2","1","2.76","0","33","17","33.0","22","10","3","49","14","1.08","13.42","3.76","2.92","0.7","0.8","10233"
"Craig Kimbrel","Cubs","2","1","2.96","0","30","17","30.0","20","10","3","45","13","1.11","13.64","3.92","2.94","0.6","0.6","6655"
"Max Scherzer","Nationals","8","4","3.08","16","16","0","106.0","82","36","13","144","26","1.01","12.21","2.18","2.95","3.1","3.3","3137"
"Dellin Betances","Yankees","1","1","2.99","0","18","0","18.0","12","6","2","27","8","1.13","13.48","4.11","3.01","0.3","0.4","6216"
"Matt Barnes","Red Sox","2","1","3.12","0","32","10","32.0","24","11","3","45","14","1.18","12.63","3.85","3.01","0.5","0.6","12863"
"Kirby Yates","Padres","2","1","3.13","0","33","17","33.0","25","11","4","46","11","1.09","12.55","3.01","3.05","0.5","0.6","9073"
"Ken Giles","Blue Jays","2","1","3.21","0","30","14","30.0","24","11","3","40","10","1.11","11.88","2.85","3.07","0.6","0.4","12910"
"Nick Anderson","Marlins","1","1","3.10","0","28","2","28.0","21","10","3","37","10","1.12","11.95","3.27","3.14","0.5","0.4","18337"
"Corey Knebel","Brewers","0","0","3.21","0","1","0","1.0","1","0","0","1","0","1.17","12.92","3.84","3.16","0.0","0.1","15010"
"Andrew Miller","Cardinals","2","1","3.15","0","33","1","33.0","26","12","3","43","12","1.16","11.71","3.34","3.18","0.5","0.5","6785"
"Gerrit Cole","Astros","7","4","3.30","16","16","0","97.0","75","35","12","126","29","1.08","11.78","2.69","3.19","2.6","2.5","13125"
"Ryan Pressly","Astros","2","1","3.23","0","35","1","35.0","29","12","4","42","11","1.13","10.90","2.75","3.20","0.6","0.5","7005"
"Chad Green","Yankees","2","1","3.22","0","28","0","28.0","21","10","4","37","8","1.04","12.09","2.45","3.23","0.6","0.5","15552"
"Ray Black","Giants","1","1","3.19","0","13","0","13.0","9","4","1","18","6","1.21","12.61","4.44","3.29","0.2","0.2","14244"
"Jose Alvarado","Rays","2","1","3.03","0","32","9","32.0","24","11","3","44","17","1.27","12.16","4.76","3.29","0.4","0.5","17780"
"Blake Snell","Rays","6","4","3.24","15","15","0","87.0","69","31","10","111","33","1.17","11.45","3.45","3.31","2.1","2.2","13543"
"Austin Adams","Mariners","2","1","3.15","0","29","1","29.0","20","10","3","41","15","1.22","12.86","4.66","3.32","0.5","0.5","13801"
"Walker Buehler","Dodgers","6","4","3.34","14","14","0","85.0","73","31","10","98","23","1.13","10.42","2.39","3.33","1.9","1.9","19374"
"Giovanny Gallegos","Cardinals","2","1","3.40","0","28","1","28.0","23","11","4","35","8","1.12","11.32","2.71","3.34","0.4","0.4","14986"
"Diego Castillo","Rays","1","1","3.29","0","28","4","28.0","22","10","3","34","10","1.19","11.02","3.43","3.39","0.4","0.4","17496"
"Justin Verlander","Astros","8","4","3.44","16","16","0","102.0","82","39","15","130","25","1.05","11.48","2.17","3.39","2.6","2.5","8700"
"Liam Hendriks","Athletics","2","1","3.43","0","35","3","35.0","28","13","4","42","12","1.16","10.91","3.09","3.41","0.6","0.5","3548"
"Kenley Jansen","Dodgers","2","1","3.46","0","32","19","32.0","26","12","5","39","8","1.06","11.11","2.19","3.43","0.4","0.4","3096"
