Dodgers	61	42	19	.689	96	5.39	3.82	101	60	41	.594	93	5.04	4.12	102	60	.629	189	5.17	4.01
Astros	61	41	20	.672	101	5.13	3.48	101	60	41	.595	96	5.25	4.30	101	61	.624	197	5.21	3.99
Yankees	58	38	20	.655	76	5.34	4.03	104	60	44	.579	84	5.27	4.46	98	64	.606	160	5.30	4.31
Twins	58	40	18	.690	109	5.98	4.10	104	56	48	.541	44	5.20	4.78	96	66	.594	153	5.48	4.54
Rays	57	35	22	.614	78	4.68	3.32	105	57	48	.547	47	4.71	4.26	92	70	.570	125	4.70	3.93
Red Sox	59	30	29	.509	31	5.34	4.81	103	60	43	.586	91	5.38	4.50	90	72	.558	122	5.37	4.61
Cubs	58	32	26	.552	53	5.21	4.29	104	57	47	.546	48	4.94	4.48	89	73	.548	101	5.03	4.41
Brewers	60	34	26	.567	18	5.07	4.77	102	53	49	.515	16	4.91	4.76	87	75	.534	34	4.97	4.76
Braves	59	32	27	.542	8	4.93	4.80	103	54	49	.523	24	4.89	4.65	86	76	.530	32	4.90	4.71
Phillies	60	33	27	.550	15	4.82	4.57	102	52	50	.506	6	4.88	4.82	85	77	.522	21	4.86	4.72
Cardinals	58	30	28	.517	19	4.88	4.55	104	54	50	.521	22	4.80	4.59	84	78	.520	41	4.83	4.58
Indians	59	29	30	.492	-16	3.97	4.24	103	55	48	.534	34	4.83	4.49	84	78	.518	18	4.51	4.40
Rockies	58	31	27	.535	14	5.47	5.22	104	52	52	.502	2	5.19	5.17	83	79	.514	16	5.29	5.19
Nationals	59	26	33	.441	-20	4.71	5.05	103	56	47	.547	47	4.90	4.44	82	80	.508	27	4.83	4.66
Padres	60	31	29	.517	-22	4.00	4.37	102	51	51	.497	-3	4.51	4.54	82	80	.504	-25	4.32	4.48
Athletics	60	29	30	.492	24	4.83	4.43	102	52	50	.513	14	4.95	4.81	81	81	.502	38	4.90	4.67
Angels	60	29	31	.483	0	5.02	5.02	102	52	50	.507	7	4.94	4.87	81	81	.498	7	4.97	4.92
Mets	59	28	31	.475	-21	4.58	4.93	103	53	50	.510	10	4.42	4.32	81	81	.497	-11	4.48	4.54
Diamondbacks	61	30	31	.492	46	5.20	4.44	101	49	52	.489	-11	4.50	4.60	79	83	.490	35	4.76	4.54
Reds	59	27	32	.458	36	4.42	3.81	103	52	51	.502	2	4.71	4.69	79	83	.486	38	4.61	4.37
Rangers	57	30	27	.526	27	5.67	5.19	105	48	57	.457	-47	4.86	5.31	78	84	.481	-20	5.14	5.27
Pirates	58	28	30	.483	-68	4.22	5.40	104	49	55	.474	-26	4.42	4.67	77	85	.477	-94	4.35	4.93
White Sox	59	29	30	.492	-43	4.27	5.00	103	43	60	.420	-84	4.50	5.31	72	90	.446	-127	4.41	5.20
Giants	58	24	34	.414	-76	3.86	5.17	104	47	57	.454	-45	4.15	4.58	71	91	.440	-121	4.05	4.79
Mariners	63	25	38	.397	-73	4.94	6.10	99	46	53	.461	-39	4.64	5.04	71	91	.436	-112	4.76	5.45
Blue Jays	59	21	38	.356	-65	3.75	4.85	103	46	57	.449	-54	4.60	5.13	67	95	.415	-119	4.29	5.02
Tigers	57	22	34	.393	-98	3.53	5.25	105	43	62	.414	-92	4.40	5.28	65	97	.404	-190	4.10	5.27
Royals	59	19	40	.322	-54	4.34	5.25	103	45	58	.439	-64	4.48	5.09	64	98	.396	-118	4.43	5.15
Marlins	57	21	36	.368	-74	3.32	4.61	105	43	62	.409	-90	3.88	4.73	64	98	.395	-164	3.68	4.69
Orioles	59	18	41	.305	-121	4.03	6.08	103	39	64	.378	-132	4.36	5.64	57	105	.351	-253	4.24	5.80
