"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"A.J. Cole","Indians","2","1","1.41","0","8","0","9.0","7","1","0","13","1","0.89","12.62","1.31","1.02","0.3","0.2","11467"
"Matt Moore","Tigers","0","0","0.47","2","2","0","11.0","4","1","0","10","1","0.49","8.04","1.13","1.98","0.4","0.7","1890"
"Kirby Yates","Padres","2","4","2.32","0","68","41","68.0","48","18","5","105","23","1.04","13.88","3.02","2.17","1.6","1.6","9073"
"Nick Burdi","Pirates","2","1","7.75","0","14","0","12.0","14","10","1","21","4","1.52","15.82","3.33","2.27","0.3","-0.4","16074"
"Felipe Vazquez","Pirates","3","2","2.41","0","65","37","67.0","54","18","6","95","20","1.10","12.79","2.70","2.49","1.4","1.5","12076"
"Edwin Diaz","Mets","4","4","2.26","0","67","37","65.0","46","16","7","100","21","1.02","13.83","2.84","2.53","1.3","1.5","14710"
"Aroldis Chapman","Yankees","3","3","2.40","0","66","37","65.0","43","17","5","97","25","1.04","13.37","3.43","2.54","1.6","1.5","10233"
"Ken Giles","Blue Jays","3","3","2.62","0","65","30","65.0","51","19","6","88","18","1.07","12.32","2.58","2.55","1.4","1.5","12910"
"Ryan Pressly","Astros","4","2","2.15","0","69","3","71.0","50","17","6","86","16","0.94","10.83","2.08","2.56","1.4","2.0","7005"
"Will Smith","Giants","3","2","2.80","0","65","34","64.0","45","20","6","87","19","1.00","12.20","2.69","2.65","1.2","1.2","8048"
"Josh Hader","Brewers","4","5","2.54","0","63","31","70.0","37","20","10","121","26","0.91","15.71","3.36","2.67","1.4","1.6","14212"
"Max Scherzer","Nationals","12","11","3.18","33","33","0","214.0","182","76","23","285","52","1.09","11.96","2.18","2.76","6.5","5.3","3137"
"Matt Barnes","Red Sox","5","3","2.78","0","65","15","65.0","46","20","7","98","26","1.11","13.66","3.62","2.88","1.0","1.5","12863"
"Craig Kimbrel","","2","1","2.94","0","36","0","36.0","24","12","4","55","15","1.10","13.73","3.83","2.89","0.7","0.6","6655"
"Dellin Betances","Yankees","1","1","2.94","0","23","0","23.0","15","8","2","35","11","1.13","13.56","4.19","2.95","0.4","0.4","6216"
"Brad Hand","Indians","5","4","2.73","0","70","36","69.0","51","21","7","92","24","1.09","12.07","3.20","2.97","1.1","1.6","9111"
"Trevor Gott","Giants","3","1","3.23","0","38","0","41.0","29","15","3","42","12","1.02","9.30","2.75","2.98","0.5","0.6","15046"
"Emilio Pagan","Rays","3","2","2.77","0","61","11","63.0","45","19","7","81","20","1.03","11.54","2.90","3.01","1.1","1.2","14771"
"Sam Dyson","Giants","4","2","3.03","0","60","1","62.0","54","21","4","58","16","1.14","8.52","2.35","3.01","0.6","0.7","11710"
"Jake Diekman","Royals","2","3","3.22","0","56","2","53.0","33","19","3","72","25","1.10","12.16","4.25","3.02","0.8","0.9","5003"
"Gerrit Cole","Astros","15","10","3.52","33","33","0","199.0","156","78","27","281","57","1.06","12.68","2.55","3.04","5.2","3.7","13125"
"Liam Hendriks","Athletics","4","1","2.43","1","56","0","63.0","47","17","5","72","22","1.11","10.28","3.21","3.05","1.1","1.6","3548"
"Jose Alvarado","Rays","2","6","2.94","0","67","17","66.0","47","21","5","90","36","1.27","12.32","4.94","3.06","0.8","1.2","17780"
"Blake Snell","Rays","12","10","3.11","31","31","0","178.0","136","61","20","237","61","1.11","12.00","3.10","3.06","4.3","4.6","13543"
"Ty Buttrey","Angels","5","4","2.66","0","68","12","71.0","59","21","6","85","25","1.18","10.73","3.21","3.08","1.2","1.4","14719"
"Tyler Glasnow","Rays","11","5","2.96","21","21","0","121.0","95","40","12","145","42","1.12","10.75","3.08","3.09","2.9","3.2","14374"
"Corey Knebel","Brewers","0","0","3.16","0","1","0","1.0","1","0","0","1","0","1.17","12.98","3.92","3.10","0.0","0.1","15010"
"Jacob deGrom","Mets","12","11","3.27","32","32","0","193.0","161","70","23","240","52","1.11","11.19","2.44","3.13","4.7","3.9","10954"
"Stephen Strasburg","Nationals","14","9","3.40","32","32","0","205.0","168","77","23","243","55","1.09","10.67","2.44","3.15","4.9","4.4","10131"
"Hector Neris","Phillies","3","3","2.95","0","66","25","67.0","48","22","8","92","23","1.05","12.36","3.04","3.16","0.9","1.1","11804"
