"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Edwin Diaz","Mets","2","2","2.62","0","41","23","41.0","28","12","4","62","14","1.01","13.53","3.03","2.46","0.9","0.8","14710"
"Josh Hader","Brewers","2","2","2.64","0","41","18","41.0","25","12","5","68","17","1.02","15.04","3.73","2.59","1.0","0.9","14212"
"Felipe Vazquez","Pirates","2","2","2.83","0","42","22","42.0","32","13","4","55","14","1.10","11.93","3.03","2.77","0.8","0.9","12076"
"Craig Kimbrel","","2","1","2.95","0","35","0","35.0","24","11","4","53","15","1.10","13.71","3.80","2.87","0.7","0.7","6655"
"Will Smith","Giants","2","2","2.88","0","42","21","42.0","32","13","4","55","14","1.10","11.76","3.08","2.88","0.7","0.7","8048"
"Aroldis Chapman","Yankees","3","2","2.78","0","42","21","42.0","28","13","4","62","18","1.10","13.36","3.88","2.91","0.9","0.9","10233"
"Jacob deGrom","Mets","8","6","3.05","20","20","0","124.0","101","42","13","155","32","1.07","11.25","2.35","2.91","3.7","3.1","10954"
"Max Scherzer","Nationals","10","5","3.09","20","20","0","132.0","102","45","16","179","33","1.02","12.17","2.26","2.92","3.8","3.8","3137"
"Kirby Yates","Padres","2","2","3.05","0","41","19","41.0","30","14","5","58","14","1.08","12.74","3.04","2.92","0.7","0.6","9073"
"Dellin Betances","Yankees","1","1","2.95","0","22","0","22.0","15","7","2","34","10","1.13","13.56","4.16","2.92","0.4","0.4","6216"
"Chris Sale","Red Sox","10","5","3.09","20","20","0","126.0","98","43","15","167","29","1.01","11.93","2.10","2.93","3.6","3.7","10603"
"Matt Barnes","Red Sox","2","2","3.14","0","41","11","41.0","32","14","4","57","17","1.19","12.37","3.81","3.01","0.6","0.7","12863"
"Nick Anderson","Marlins","2","2","3.02","0","36","2","36.0","26","12","4","48","14","1.12","12.18","3.41","3.02","0.6","0.6","18337"
"Ryan Pressly","Astros","3","2","3.15","0","44","1","44.0","36","15","5","54","13","1.12","11.07","2.76","3.07","0.7","0.6","7005"
"Corey Knebel","Brewers","0","0","3.16","0","1","0","1.0","1","0","0","1","0","1.16","12.97","3.89","3.08","0.0","0.1","15010"
"Ken Giles","Blue Jays","2","2","3.27","0","41","20","41.0","33","15","5","53","13","1.12","11.55","2.80","3.10","0.7","0.6","12910"
"Gerrit Cole","Astros","9","5","3.29","20","20","0","122.0","95","44","15","159","37","1.08","11.78","2.72","3.12","3.3","3.0","13125"
"Andrew Miller","Cardinals","2","1","3.14","0","35","1","35.0","28","12","3","45","13","1.17","11.58","3.39","3.14","0.5","0.6","6785"
"Blake Snell","Rays","8","5","3.14","20","20","0","117.0","91","41","13","151","44","1.16","11.61","3.38","3.16","3.0","3.0","13543"
"Diego Castillo","Rays","2","2","3.14","0","42","6","42.0","33","15","4","53","16","1.16","11.36","3.36","3.19","0.6","0.6","17496"
"Jose Alvarado","Rays","2","2","3.01","0","42","11","42.0","31","14","4","57","22","1.27","12.11","4.79","3.24","0.6","0.6","17780"
"Giovanny Gallegos","Cardinals","2","1","3.36","0","29","0","29.0","23","11","4","37","9","1.14","11.42","2.95","3.27","0.4","0.3","14986"
"Kenley Jansen","Dodgers","2","2","3.38","0","41","24","41.0","32","15","6","51","10","1.05","11.28","2.22","3.30","0.6","0.5","3096"
"Danny Salazar","Indians","1","1","3.32","1","17","0","22.0","17","8","3","28","8","1.14","11.62","3.12","3.32","0.4","0.3","5867"
"Keone Kela","Pirates","2","2","3.44","0","39","0","39.0","31","15","4","47","15","1.20","11.06","3.41","3.34","0.6","0.5","14696"
"Justin Verlander","Astros","9","5","3.43","20","20","0","128.0","103","49","19","162","32","1.06","11.42","2.25","3.34","3.2","3.0","8700"
"Walker Buehler","Dodgers","8","5","3.38","18","18","0","106.0","92","40","12","123","31","1.15","10.38","2.63","3.34","2.2","2.1","19374"
"Ray Black","Giants","1","1","3.25","0","22","0","22.0","16","8","2","31","12","1.24","12.46","4.69","3.35","0.3","0.3","14244"
"Colin Poche","Rays","0","0","3.23","0","3","0","3.0","2","1","0","5","1","1.16","12.51","3.81","3.36","0.0","0.1","sa657989"
"Clayton Kershaw","Dodgers","9","5","3.31","19","19","0","123.0","114","45","15","123","24","1.13","9.01","1.76","3.36","2.8","2.6","2036"
"Carlos Carrasco","Indians","8","6","3.49","20","20","0","117.0","104","46","15","134","27","1.12","10.27","2.08","3.36","2.9","2.9","6632"
"James Paxton","Yankees","8","5","3.37","18","18","0","101.0","82","38","13","125","30","1.11","11.15","2.70","3.37","2.9","2.6","11828"
"Noah Syndergaard","Mets","7","6","3.61","20","20","0","119.0","109","48","13","127","31","1.17","9.56","2.36","3.37","2.7","2.1","11762"
"David Robertson","Phillies","0","0","3.45","0","6","0","6.0","5","2","1","8","3","1.20","11.96","3.69","3.38","0.1","0.0","8241"
"Chris Paddack","Padres","6","5","3.47","15","15","0","89.0","78","34","11","100","22","1.12","10.11","2.19","3.39","1.9","1.8","20099"
"Chad Green","Yankees","2","1","3.40","0","35","0","35.0","28","13","5","45","10","1.09","11.58","2.60","3.40","0.6","0.5","15552"
"Garrett Richards","Padres","0","0","3.42","0","0","0","1.0","1","0","0","1","0","1.25","9.91","3.28","3.40","0.0","0.0","9784"
"Zack Britton","Yankees","2","2","3.09","0","39","1","39.0","34","13","3","39","16","1.32","9.04","3.84","3.40","0.6","0.7","3240"
"Blake Treinen","Athletics","2","2","3.34","0","45","19","45.0","38","16","4","49","17","1.24","9.82","3.53","3.41","0.7","0.7","12572"
"Stephen Strasburg","Nationals","8","6","3.53","20","20","0","121.0","106","48","15","140","34","1.16","10.36","2.52","3.41","2.8","2.7","10131"
"Roberto Osuna","Astros","2","2","3.49","0","41","20","41.0","35","16","5","47","10","1.11","10.53","2.30","3.41","0.6","0.5","13764"
"Taylor Rogers","Twins","2","2","3.46","0","42","9","42.0","36","16","5","48","13","1.19","10.40","2.88","3.43","0.6","0.6","13449"
"Joe Kelly","Dodgers","2","1","3.35","0","34","0","34.0","30","13","3","38","13","1.23","9.98","3.33","3.45","0.3","0.3","9761"
"Jake Diekman","Royals","2","1","3.29","0","29","2","29.0","22","10","3","36","14","1.25","11.31","4.25","3.45","0.4","0.5","5003"
"Oliver Drake","Rays","1","1","3.40","0","19","0","19.0","16","7","2","23","7","1.21","10.53","3.39","3.45","0.3","0.2","8823"
"Hyun-Jin Ryu","Dodgers","8","5","3.48","18","18","0","109.0","101","42","14","112","23","1.14","9.25","1.89","3.46","2.1","2.1","14444"
"Aaron Loup","Padres","1","1","3.34","0","16","0","16.0","14","6","1","17","6","1.25","9.88","3.36","3.47","0.2","0.2","10343"
