"Team","Batting","Base Running","Fielding","Positional","Offense","Defense","League","Replacement","RAR","WAR","Dollars"
"Cubs","44.0","17.3","65.0","40.5","61.3","105.5","5.7","191.1","363.7","37.2","$297.6"
"Red Sox","99.3","10.6","31.2","-15.3","109.9","15.9","27.5","190.7","343.9","35.2","$281.4"
"Giants","-32.0","-2.8","51.3","38.9","-34.8","90.1","5.7","189.2","250.2","25.6","$204.7"
"Dodgers","-22.2","2.0","41.1","33.2","-20.2","74.2","5.6","186.0","245.6","25.1","$200.9"
"Blue Jays","30.9","-9.0","16.7","-13.6","21.9","3.1","27.1","188.1","240.1","24.6","$196.5"
"Indians","-1.7","15.8","26.6","-14.2","14.1","12.5","26.7","185.7","239.0","24.4","$195.5"
"Mets","-9.1","-8.6","26.7","33.7","-17.7","60.3","5.5","184.5","232.7","23.8","$190.3"
"Astros","8.2","-5.4","31.0","-17.5","2.8","13.5","27.0","187.2","230.5","23.6","$188.6"
"Nationals","-32.7","16.0","4.2","38.8","-16.7","43.0","5.6","187.1","219.0","22.4","$179.1"
"Cardinals","36.0","-17.1","-29.4","34.1","18.9","4.8","5.6","187.8","217.1","22.2","$177.6"
"Marlins","-42.5","2.4","27.1","33.2","-40.1","60.3","5.5","185.0","210.8","21.6","$172.4"
"Tigers","44.0","-16.9","-12.0","-15.8","27.0","-27.8","26.6","184.9","210.7","21.5","$172.4"
"Mariners","58.2","-13.5","-35.2","-16.1","44.6","-51.3","27.1","187.9","208.2","21.3","$170.4"
"Orioles","20.1","2.5","-13.1","-13.8","22.6","-26.9","26.5","183.7","205.9","21.1","$168.4"
"Angels","-10.6","-16.8","25.5","-15.3","-27.4","10.1","26.3","182.3","191.3","19.6","$156.5"
"Pirates","-19.8","-6.7","-17.6","33.5","-26.5","15.9","5.7","188.9","184.0","18.8","$150.5"
"Rays","-12.7","-0.4","2.0","-14.3","-13.0","-12.3","26.3","182.4","183.4","18.8","$150.0"
"Rockies","-46.1","1.1","-6.4","35.3","-45.0","28.9","5.6","188.2","177.7","18.2","$145.4"
"Rangers","-39.0","2.0","0.5","-16.6","-37.0","-16.1","26.5","183.7","157.1","16.1","$128.5"
"Diamondbacks","-57.6","17.7","-30.1","31.3","-39.9","1.2","5.7","188.9","155.8","15.9","$127.5"
"Yankees","-60.3","10.6","12.1","-15.9","-49.7","-3.8","26.3","182.8","155.6","15.9","$127.3"
"White Sox","-24.7","-2.5","-29.1","-16.0","-27.2","-45.1","26.6","185.0","139.3","14.2","$114.0"
"Brewers","-60.4","5.2","-42.3","32.3","-55.2","-10.0","5.5","182.9","123.1","12.6","$100.7"
"Twins","-36.3","7.8","-50.3","-14.4","-28.5","-64.7","27.1","188.4","122.4","12.5","$100.1"
"Reds","-85.5","-4.3","-14.6","34.2","-89.9","19.7","5.5","183.9","119.2","12.2","$97.5"
"Royals","-79.6","-4.3","8.0","-15.9","-83.9","-7.9","26.3","182.6","117.1","12.0","$95.8"
"Padres","-117.1","24.8","-20.4","32.3","-92.3","11.9","5.4","181.0","106.0","10.8","$86.8"
"Phillies","-138.4","0.9","12.6","32.8","-137.5","45.4","5.4","180.8","94.1","9.6","$77.0"
"Braves","-104.7","-6.1","-21.6","32.8","-110.8","11.2","5.6","186.8","92.9","9.5","$76.0"
"Athletics","-78.3","-22.2","-58.6","-16.2","-100.5","-74.8","26.2","181.7","32.6","3.3","$26.6"
